Student ID,Courses
269812,HarvardX/ER22x/2013_Spring
5815474,HarvardX/CS50x/2012
9131423,HarvardX/CS50x/2012
8853941,HarvardX/CS50x/2012
8539900,HarvardX/SPU27x/2013_Oct
6598137,HarvardX/CS50x/2012
2290408,HarvardX/CS50x/2012
9494485,HarvardX/CS50x/2012
1634362,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
4670357,HarvardX/SPU27x/2013_Oct
6598139,HarvardX/CS50x/2012
9241116,HarvardX/CS50x/2012
8963685,HarvardX/PH278x/2013_Spring
948446,HarvardX/CS50x/2012
7674646,HarvardX/PH278x/2013_Spring
6542367,HarvardX/CS50x/2012
6196266,HarvardX/PH207x/2012_Fall
9775960,HarvardX/PH207x/2012_Fall
1502208,HarvardX/PH278x/2013_Spring
268142,HarvardX/CS50x/2012
4325126,HarvardX/CS50x/2012
8723827,HarvardX/ER22x/2013_Spring
6821548,HarvardX/ER22x/2013_Spring
2980108,HarvardX/PH207x/2012_Fall
710047,HarvardX/PH207x/2012_Fall
8023012,HarvardX/ER22x/2013_Spring
8071571,HarvardX/CS50x/2012
2920740,HarvardX/CS50x/2012
1263094,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
5796383,HarvardX/CS50x/2012
939268,HarvardX/CS50x/2012
4609323,HarvardX/CS50x/2012
931070,HarvardX/CS50x/2012
5799570,HarvardX/PH278x/2013_Spring
6107178,HarvardX/CS50x/2012
4374862,HarvardX/SPU27x/2013_Oct
2550225,HarvardX/CS50x/2012
6912997,HarvardX/CB22x/2013_Spring
7120829,HarvardX/CS50x/2012
4780074,HarvardX/CS50x/2012
3577500,HarvardX/CS50x/2012
1121332,HarvardX/CB22x/2013_Spring
2773428,HarvardX/PH207x/2012_Fall
8762058,HarvardX/ER22x/2013_Spring
3053947,HarvardX/CS50x/2012
8351870,HarvardX/HSPH-HMS214x/2013_SOND
3233714,HarvardX/CB22x/2013_Spring
452892,HarvardX/CB22x/2013_Spring
7728353,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
5859622,HarvardX/CS50x/2012
2675033,HarvardX/CS50x/2012
7988756,HarvardX/PH278x/2013_Spring
8451615,HarvardX/PH207x/2012_Fall
9098493,HarvardX/CB22x/2013_Spring,HarvardX/SPU27x/2013_Oct
4899879,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
3282072,HarvardX/CS50x/2012
1344781,HarvardX/PH207x/2012_Fall
6569967,HarvardX/CS50x/2012
9786804,HarvardX/CS50x/2012,HarvardX/GSE1x/2014_JFMA
129188,HarvardX/CS50x/2012,HarvardX/PH278x/2013_Spring
2410968,HarvardX/ER22x/2013_Spring
7886802,HarvardX/CS50x/2012,HarvardX/CS50x/2012
2294070,HarvardX/PH207x/2012_Fall
4892732,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
8758510,HarvardX/ER22x/2013_Spring
6646605,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
1141410,HarvardX/ER22x/2013_Spring
9668013,HarvardX/CS50x/2012
5555285,HarvardX/CS50x/2012
2287324,HarvardX/PH278x/2013_Spring,HarvardX/SPU27x/2013_Oct
3277187,HarvardX/CS50x/2012
4945651,HarvardX/CB22x/2013_Spring
3777148,HarvardX/CS50x/2012
8314743,HarvardX/ER22x/2013_Spring
5189860,HarvardX/ER22x/2013_Spring,HarvardX/PH207x/2012_Fall,HarvardX/PH278x/2013_Spring
4192938,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
7706687,HarvardX/CB22x/2013_Spring
3443802,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
6812716,HarvardX/ER22x/2013_Spring
339885,HarvardX/CS50x/2012
4678095,HarvardX/PH207x/2012_Fall
879809,HarvardX/PH207x/2012_Fall
2691207,HarvardX/SPU27x/2013_Oct
4711823,HarvardX/CS50x/2012
1877910,HarvardX/PH207x/2012_Fall
3211669,HarvardX/CS50x/2012
97939,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8570941,HarvardX/CS50x/2012
9142256,HarvardX/CS50x/2012
9509620,HarvardX/PH207x/2012_Fall
8842505,HarvardX/CS50x/2012
2036637,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
4296564,HarvardX/ER22x/2013_Spring
3253215,HarvardX/CS50x/2012
5838581,HarvardX/CS50x/2012
6028740,HarvardX/PH207x/2012_Fall
381185,HarvardX/ER22x/2013_Spring
495341,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
3193203,HarvardX/ER22x/2013_Spring
9981656,HarvardX/ER22x/2013_Spring,HarvardX/SPU27x/2013_Oct
2750113,HarvardX/CS50x/2012,HarvardX/CS50x/2012
7943183,HarvardX/CB22x/2013_Spring,HarvardX/PH278x/2013_Spring
4360842,HarvardX/CS50x/2012
5160000,HarvardX/CS50x/2012
3613677,HarvardX/CS50x/2012
4407423,HarvardX/ER22x/2013_Spring
4998233,HarvardX/PH278x/2013_Spring
2789315,HarvardX/PH207x/2012_Fall
4213172,HarvardX/CB22x/2013_Spring
1384463,HarvardX/CS50x/2012
7741390,HarvardX/ER22x/2013_Spring
1720529,HarvardX/CB22x/2013_Spring,HarvardX/CS50x/2012,HarvardX/ER22x/2013_Spring
7472669,HarvardX/CS50x/2012
4649133,HarvardX/ER22x/2013_Spring
5243524,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
7943377,HarvardX/ER22x/2013_Spring
5447308,HarvardX/ER22x/2013_Spring
4109529,HarvardX/CS50x/2012
7963305,HarvardX/PH201x/2013_SOND
3441404,HarvardX/CS50x/2012
4963681,HarvardX/PH207x/2012_Fall
3884574,HarvardX/CS50x/2012
4775272,HarvardX/SPU27x/2013_Oct
7779265,HarvardX/PH207x/2012_Fall
8751135,HarvardX/CS50x/2012
1186523,HarvardX/CS50x/2012
3988865,HarvardX/ER22x/2013_Spring
6860837,HarvardX/PH278x/2013_Spring
4474789,HarvardX/CS50x/2012
4409731,HarvardX/SPU27x/2013_Oct
3139527,HarvardX/CS50x/2012
3598502,HarvardX/CS50x/2012
8138081,HarvardX/ER22x/2013_Spring
3005943,HarvardX/CS50x/2012
666260,HarvardX/PH278x/2013_Spring
9900743,HarvardX/CS50x/2012
2679880,HarvardX/CB22x/2013_Spring
1946667,HarvardX/CS50x/2012,HarvardX/PH207x/2012_Fall
8867895,HarvardX/CS50x/2012
6409751,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring
8321324,HarvardX/CS50x/2012
4154703,HarvardX/CS50x/2012
1384829,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring,HarvardX/SPU27x/2013_Oct
8642890,HarvardX/PH278x/2013_Spring
4020646,HarvardX/CS50x/2012
7125087,HarvardX/PH278x/2013_Spring
3086540,HarvardX/ER22x/2013_Spring
258490,HarvardX/CS50x/2012
7352838,HarvardX/CS50x/2012
7633026,HarvardX/SPU27x/2013_Oct
7613436,HarvardX/ER22x/2013_Spring
7352833,HarvardX/CS50x/2012
9310665,HarvardX/CS50x/2012
3283308,HarvardX/CS50x/2012
145436,HarvardX/ER22x/2013_Spring
9949708,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
4290192,HarvardX/CS50x/2012
6169150,HarvardX/CS50x/2012
3868412,HarvardX/CS50x/2012
3479655,HarvardX/CS50x/2012
9988496,HarvardX/PH207x/2012_Fall
2350217,HarvardX/PH207x/2012_Fall
8545095,HarvardX/CS50x/2012
7421296,HarvardX/CS50x/2012
5219067,HarvardX/CS50x/2012
2545568,HarvardX/SPU27x/2013_Oct
7443944,HarvardX/PH278x/2013_Spring
2814174,HarvardX/CB22x/2013_Spring
777670,HarvardX/SPU27x/2013_Oct
7819137,HarvardX/CS50x/2012
6339224,HarvardX/CB22x/2013_Spring,HarvardX/ER22x/2013_Spring,HarvardX/PH278x/2013_Spring
1119478,HarvardX/PH207x/2012_Fall
6659231,HarvardX/CS50x/2012
7079196,HarvardX/CS50x/2012
4942388,HarvardX/CS50x/2012
1903614,HarvardX/CS50x/2012
1853565,HarvardX/CS50x/2012
2640888,HarvardX/CS50x/2012
1602013,HarvardX/ER22x/2013_Spring
5923449,HarvardX/PH278x/2013_Spring
4075391,HarvardX/PH207x/2012_Fall
1075682,HarvardX/CS50x/2012
275947,HarvardX/CS50x/2012
6144169,HarvardX/PH278x/2013_Spring
420104,HarvardX/ER22x/2013_Spring
